Smiles,Standard Relation,Standard Value,Standard Units
CCOC(=O)C1CC2Cc3[nH]ncc3C(C1)N2S(=O)(=O)c1ccc(Cl)cc1,'=',8.0,nM
COC(=O)CCC[C@@]1(C)CCC[C@](c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)C1,'=',1628.0,nM
O=S(=O)(c1ccc(Cl)cc1)[C@@]1(c2cc(F)ccc2F)CCC[C@@H](CCCO)C1,'=',8.0,nM
CC(C)OC(=O)N1CC2Cc3[nH]ncc3C(C1)N2S(=O)(=O)c1ccc(Cl)cc1,'=',1109.0,nM
N#CC1CC2Cc3[nH]ncc3C(C1)N2S(=O)(=O)c1ccc(Cl)cc1,'=',32.0,nM
C[C@H](CO)N(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1,'=',27.0,nM
O=S(=O)(c1ccc(Cl)cc1)C1(c2cc(F)ccc2F)CCC(O)CC1,'=',385.0,nM
CC[C@@H]1CCC[C@H](COC(=O)N2CCC(N3CCCCC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,'=',34.0,nM
CC(C)[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,'=',2.4,nM
CCCCN(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(C)cc1,'=',1300.0,nM
CCCN(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(C)cc1,'=',750.0,nM
CCCN1C[C@]2(NS1(=O)=O)[C@@H]1CC[C@H]2Cc2ccc(/C=C/CN3CCC(C(F)(F)F)CC3)cc2C1,'=',2.0,nM
O=S1(=O)N[C@@]2(CN1CC(F)(F)F)[C@@H]1CC[C@H]2Cc2ccc(/C=C/CN3CCCCC3)cc2C1,'=',250.0,nM
CC(C)N1N=Cc2ccccc2C(NC(=O)[C@H](C)NC(=O)Cc2cc(F)cc(F)c2)C1=O,'=',4.0,nM
CCCNC(=O)C1(C(=O)N[C@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)CCC1,'=',82.0,nM
O=C1C=CC[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,'=',1600.0,nM
COc1cc(-c2noc3c2CCCC3NCc2cc(F)cc(F)c2)ccc1-n1cnc(C)c1,'=',640.0,nM
O=C1C=CCN(S(=O)(=O)c2ccccc2)C1Cc1ccccc1,'=',5900.0,nM
CC(CO)C(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1,'=',304.0,nM
O=C(N1CC[C@](c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)[C@@H](O)C1)C1(C(F)(F)F)CC1,'=',190.0,nM
COC(=O)/C=C/C[C@@H]1CCC[C@](c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)C1,'=',10.0,nM
C=CC[C@@H]1CCC[C@](c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)C1,'=',44.0,nM
O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1ccccc1F,'=',239.0,nM
O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1cccc(F)c1,'=',324.0,nM
CC1c2c[nH]nc2-c2c(F)cccc2N1S(=O)(=O)c1ccc(Cl)cc1,'=',1.4,nM
O=S(=O)(c1ccc(C(F)(F)F)cc1)N1c2ccccc2-c2n[nH]cc2C1C1CC1,'=',0.31,nM
O=S(=O)(c1cccs1)N1c2cc(F)c(F)cc2-c2n[nH]cc2C1C1CC1,'=',2.9,nM
COC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C,'=',70.0,nM
COc1cc(-c2nc(Nc3cccc(C(F)(F)F)c3)n(C)n2)ccc1-n1cnc(C)c1,'=',15.0,nM
CNc1nc(-c2ccc(-n3cnc(C)c3)c(OC)c2)nn1-c1cccc(C(F)(F)F)c1,'=',280.0,nM
Cc1cn(-c2ccc(-c3nc(Nc4cc(C(F)(F)F)ccc4F)n(C)n3)nc2C)cn1,'=',500.0,nM
O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCC[C@]3(CCOC3)[C@@H]1COc1c(F)ccc(F)c12,'=',13.9,nM
O=S1(=O)CCC2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CC1,'=',57.7,nM
