Smiles,Standard Relation,Standard Value,Standard Units
Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4C(C)C)n3)cc2F)cn1,'=',87.0,nM
Cc1cc(-c2ccc(NC(=O)[C@H](CC(C)C)c3cccc(-c4ccc(N5CCOCC5)cc4)c3)cc2)ccn1,'=',20.0,nM
COc1nc(-c2csc(Nc3c4c(nn3CCCO)CCCC4)n2)ccc1-n1cnc(C)c1,'=',50.0,nM
O=S1(=O)N[C@@]2(CN1CC(F)(F)F)[C@@H]1CC[C@H]2Cc2ccc(-c3cn(-c4ccccc4F)cn3)cc2C1,'=',0.17,nM
CCCC[C@@H](C)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,'=',5.0,nM
CCCC1C[C@@H]2C[C@](c3cc(F)ccc3F)(S(=O)(=O)c3ccc(Cl)cc3)CC[C@@H]2NS1(=O)=O,'=',0.24,nM
CC(C)CN(C[C@H](O)[C@@H](N)c1ccccc1)S(=O)(=O)c1ccc(Cl)c(Cl)c1,'=',4800.0,nM
COc1cc(-c2cn(Cc3cccc(F)c3)nn2)ccc1-n1cnc(C)c1,'=',6240.0,nM
COc1cc(-c2cn(Cc3ccc(C(C)(C)C)cc3)nn2)ccc1-n1cnc(C)c1,'=',300.0,nM
COc1cc(-c2cn(Cc3cccc(-c4noc(C)n4)c3)nn2)ccc1-n1cnc(C)c1,'=',6610.0,nM
COc1cc(-c2cn(Cc3ccc(C(C)(C)C)cc3)nn2)ccc1-n1cnc(C)c1,'=',4800.0,nM
C[C@H](COC(=O)N1CCCC1)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,'=',1.8,nM
CCCCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1ccccc1,'=',240.0,nM
CCCCN(C)C(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](O)c1ccccc1,'=',240.0,nM
CC(C)C[C@H](NC(=O)Cc1ccc2ccccc2c1)C(=O)N[C@@H](CC1CCCCC1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,'=',4.7,nM
COC(=O)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',1000.0,nM
CC(C)C[C@H](NC(=O)Cc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N(C)Cc1ccccc1,'=',39.0,nM
COC(=O)[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',600.0,nM
COC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',400.0,nM
O=S(=O)(c1ccc(Cl)cc1)N1C2CCCC1c1cn[nH]c1C2,'=',2.0,nM
CCn1ncc2c1CCC(Nc1nc3c(-c4ccc(OC)nc4)cccn3n1)C2,'=',90.0,nM
Cc1cn(C23CC(Nc4nc5n(n4)CCCC[C@@H]5c4cccc(Cl)c4)(C2)C3)cn1,'=',15.0,nM
O=C(O)CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,'=',22.0,nM
CCCS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,'=',5.0,nM
CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C#N)c(C#N)c3)c3c(F)ccc(F)c3OC[C@@H]12,'=',400.0,nM
O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12)C(F)(F)F,'=',7.4,nM
CCCS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,'=',6.8,nM
COc1cc(Nc2nc3c(s2)CCCC3c2ccccc2)ccc1C#N,'=',3358.0,nM
Cc1cn(-c2ccc(Nc3nc4c(s3)CCCC4c3ccccc3)cc2O)cn1,'=',209.0,nM
COc1cc(Nc2nc3c(s2)CCCC3c2ccccc2)ccc1-c1nc(C)no1,'=',3431.0,nM
CC(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(N)=O,'=',8.81,nM
COc1cc(Nc2nc3n(n2)C(C)CC(=O)N3Cc2ccccc2)ccc1-n1cnc(C)c1,'=',10.0,nM
COc1cc(Nc2nc3n(n2)CCC(=O)N3Cc2ccccc2C)ccc1-n1cnc(C)c1,'=',10.0,nM
Cc1cn(C23CC(Nc4nc5n(n4)CCCC[C@H]5c4ccc(F)c(F)c4)(C2)C3)cn1,'=',27.0,nM
COc1cc(/C=C2\CCCN3C2=NOC[C@@H]3c2cc(F)cc(Cl)c2)ccc1-n1cnc(C)c1,'=',39.0,nM
COc1cc(/C=C2\CCCN3CC(CO[Si](c4ccccc4)(c4ccccc4)C(C)(C)C)ON=C23)ccc1-n1cnc(C)c1,'=',56.0,nM
Cc1nnc(-c2ccc(Nc3nc(Cc4ccc(Cl)cc4)cc(C(C)(C)O)n3)cc2)o1,'=',478.0,nM
COC(=O)[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)N(C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C)C(C)C,'=',4000.0,nM
O=S(=O)(c1ccc(C(F)(F)F)nc1)N1C2Cc3[nH]ncc3C1CC(c1ccc(F)cc1)C2,'=',14431.0,nM
O=S(=O)(c1ccc(C(F)(F)F)nc1)N1C2Cc3[nH]ncc3C1CC(c1ccccc1)C2,'=',16.0,nM
O=C1C=CC(O)N(C(=O)OCc2ccccc2)C1Cc1ccccc1,'=',500.0,nM
COc1cc(-c2ccc(N[C@@H](C)c3ccc(F)cc3)nc2)ccc1-n1cnc(C)c1,'=',794.33,nM
Cc1cn(-c2ccc(-c3ccc(N[C@@H](C)c4ccc(F)cc4)nc3)cc2C)cn1,'=',15848.93,nM
CCCCN(C)C(=O)[C@H](CC1CCCCC1)NC(=O)CNC(=O)Cc1cc(F)cc(F)c1,'=',300.0,nM
O=C1C=CCN(C(=O)OCc2ccccc2)C1Cc1ccccc1,'=',4600.0,nM
CC(=O)O[C@@H]([C@@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](OC(=O)c5ccccn5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,'=',13000.0,nM
CCCN1C[C@]2(NS1(=O)=O)[C@@H]1CC[C@H]2Cc2ccccc2C1,'=',138.0,nM
O=C(O)COc1ccc2c3ccccc3n(S(=O)(=O)c3cc(F)cc(F)c3)c2c1,'=',13000.0,nM
CC(C)c1cc(C(C)C)c(S(=O)(=O)n2c3ccccc3c3ccc(OCC(=O)O)cc32)c(C(C)C)c1,'=',7500.0,nM
COC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',10.0,nM
Br.CC(C)(C)C#CC(CCC(F)(F)F)N1CCC(F)(F)[C@H](CC(=O)O)[C@H]1c1ccc(C(F)(F)F)cc1,'=',800.0,nM
COc1cc(-c2ccc(N[C@@H](C)c3ccc(F)cc3)cn2)ccc1-n1cnc(C)c1,'=',630.96,nM
Cc1cn(-c2ccc(-c3ccc(N[C@@H](C)c4ccc(F)cc4)nc3)cc2Cl)cn1,'=',398.11,nM
COc1cc(-c2ccc(N[C@@H](C)c3ccc(F)cc3)nc2)ccc1-c1ccnnc1,'=',1995.26,nM
Cc1cn(-c2ccc3n(c2=O)CCN(CCOc2cccc(C(F)(F)F)c2)C3=O)cn1,'=',530.0,nM
O=S(=O)(c1ncc(Cl)s1)N1c2cc(F)c(F)cc2-c2n[nH]cc2C1C1CC1,'=',0.46,nM
O=S(=O)(c1ccc(C(F)(F)F)cc1)N1c2cc(-c3cscn3)ccc2-c2n[nH]cc2C1C1CC1,'=',0.41,nM
O=S(=O)(c1ccc(C(F)(F)F)cn1)N1c2ccc(F)cc2-c2n[nH]cc2[C@H]1C1CC1,'=',0.67,nM
O=C(OCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCCC2)CC1,'=',255.0,nM
CN1CCCC1CCNC(=O)OCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,'=',504.0,nM
COc1nc(-c2csc(Nc3cc(C(C)(C)C)nn3C)n2)ccc1-n1cnc(C)c1,'=',136.0,nM
CCC[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1ncc(C(C)C)s1,'=',30.0,nM
COc1ccc(CN([C@@H]2CC(F)(F)CCNC2=O)S(=O)(=O)c2ccc(Cl)cc2)c(F)c1,'=',20.0,nM
O=C(NC1CC1)c1ccc(CN(C2CCCCNC2=O)S(=O)(=O)c2ccc(Cl)cc2)cc1,'=',170.0,nM
COc1cc(/C=C/c2nc(N)c3ccccc3n2)ccc1-n1cnc(C)c1,'=',6100.0,nM
CCOC(=O)c1sc2nc(/C=C/c3ccc(-n4cnc(C)c4)c(OC)c3)nc(N)c2c1C,'=',3720.0,nM
CNC(=O)OC[C@@H](C)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,'=',15.0,nM
COc1cc(Nc2cccc3oc(CC(C)C)nc23)ccc1-n1cnc(C)c1,'=',603.0,nM
Cc1ccc(S(=O)(=O)n2c3ccccc3c3ccc(OCC(=O)O)cc32)cc1,'=',13000.0,nM
CC(C)C[C@H](NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@H](CC(C)C)C(=O)OC(C)(C)C,'=',5000.0,nM
CCNC(=O)c1ccc(-c2c(CO)nc3c(OCc4ccccc4)cccn23)cn1.Cl,'=',9400.0,nM
CCNC(=O)c1ccc(-c2c(C)nc3c(Oc4ccccc4)cccn23)cn1.Cl,'=',4500.0,nM
CCNC(=O)c1ccc(-c2c(C)nc3c(OCCc4ccccc4)cccn23)cn1.Cl,'=',1100.0,nM
CCNC(=O)c1ccc(-c2c(C)nc3c(OCc4cccc(-c5ccccc5)c4)cccn23)cn1.Cl,'=',62.0,nM
O=S(=O)(c1ccc(Cl)cc1)[C@@]1(c2cc(F)ccc2F)CCC[C@H](CCCO)C1,'=',112.0,nM
CC(c1ccccc1OCCCN1CCCC1)N(c1ccccc1)S(=O)(=O)c1ccc(Cl)cc1,'=',10.0,nM
CC(=O)O[C@@H]([C@@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](OC(=O)C5CCN5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,'=',220.0,nM
CCn1ncc2c1CCC(Nc1nc3c(-c4ccc(F)c(Cl)c4)cccn3n1)C2,'=',20.0,nM
CCOC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,'=',6250.0,nM
COc1oc(=O)c2cc(NCc3ccc([N+](=O)[O-])cc3)ccc2c1Cl,'=',10000.0,nM
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)B1O[C@H]2C[C@H]3C[C@H](C3(C)C)[C@@]2(C)O1,'=',10000.0,nM
COc1cc(/C=C2\CCCN3C2=NOCC[C@@H]3c2cc(F)cc(Cl)c2)ccc1-n1cnc(C)c1,'=',16.0,nM
COc1cc(/C=C2\CCCN3C2=NOCC[C@@H]3c2cccc(F)c2)ccc1-n1cnc(C)c1,'=',35.0,nM
COc1cc(/C=C2\CCCN3CCC(c4cc(F)c(F)c(F)c4)ON=C23)ccc1-n1cnc(C)c1,'=',53.0,nM
CC(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@@H](CC(N)=O)CC(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(=O)N[C@H]1CCC[C@@H]1C(N)=O,'=',0.555,nM
CC(C(=O)NCc1cc(F)cc(F)c1)C(=O)NC1C(=O)N(C)c2ccccc2-c2ccccc21,'=',22.0,nM
CC(C(=O)NC(C)c1ccccc1)C(=O)NC1C(=O)N(C)c2ccccc2-c2ccccc21,'=',6.3,nM
CCn1nc(-c2ccc(-n3cnc(C)c3)c(OC)c2)nc1Nc1cc(C(F)(F)F)ccc1F,'=',26.0,nM
COc1cc(-c2nc(Nc3cc(C(F)(F)F)ccc3F)n(CCC#N)n2)ccc1-n1cnc(C)c1,'=',41.0,nM
COc1cc(-c2nc(N[C@H]3CCC[C@H](C(F)(F)F)C3)n(C)n2)ccc1-n1cnc(C)c1,'=',340.0,nM
C/C=C/C(C)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,'=',140.0,nM
Cc1nsc(N2CC3CCC(C2)C3Nc2nc3c(-c4ccc(F)c(F)c4F)cccn3n2)n1,'=',4.5,nM
COc1cccn2nc(N[C@@H]3[C@@H]4CC[C@H]3CN(c3nc(C)ns3)C4)nc12,'=',231.0,nM
Cc1nsc(N2C[C@H]3CC[C@@H](C2)[C@@H]3Nc2nc3c(OCC4COC4)cccn3n2)n1,'=',49.0,nM
Cc1cccc(C(CC(C)C)C(=O)Nc2ccc(-c3ccnc(C)c3)cc2)c1,'=',1380.0,nM
C=Cc1cc(-c2ccc(NS(=O)(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)ccn1,'=',1260.0,nM
O=S(=O)(N[C@H]1[C@@H]2CC[C@H]1Cc1ccccc1C2)NC(F)(F)F,'=',134.0,nM
COC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',18000.0,nM
CC[C@@H]1CCC[C@H](COC(=O)N2CCC(N(C)C3CCN(C)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,'=',159.0,nM
CNc1nc(Nc2ccc(-n3cnc(Cl)c3)c(OC)c2)nc2c1C=CCN=C2c1ccccc1,'=',5.0,nM
COc1cc(Nc2nc3c(c(N(C)C)n2)C=CCN=C3c2ccccc2)ccc1-n1cnc(Cl)c1,'=',21.0,nM
CCCCN(C)C(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)C(O)(O)c1ccccc1,'=',1.0,nM
Cc1cn(C23CC(Nc4nc5n(n4)CCCC[C@@H]5c4ccc(Cl)cc4)(C2)C3)cn1,'=',26.0,nM
CC(c1ccccc1OCCCN1CCCC1)N(c1ccccc1Cl)S(=O)(=O)c1ccc(Cl)cc1,'=',490.0,nM
CC(c1ccccc1OCCCN1CCCC1)N(c1ccc(C(=O)c2ccccc2)cc1)S(=O)(=O)c1ccc(Cl)cc1,'=',3200.0,nM
COC(=O)CCC[C@@H]1CCC[C@](c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)C1,'=',3.0,nM
C[C@H](COC(=O)NC1CCCCC1)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,'=',5.6,nM
CCCN1C[C@]2(NS1(=O)=O)[C@@H]1CC[C@H]2Cc2ccc(/C=C/CN3CCOCC3)cc2C1,'=',19.0,nM
O=S(=O)(c1ccc(F)cc1)N(Cc1ccccc1OC1CCOCC1)c1cc(F)ccc1F,'=',360.0,nM
CCn1nc2c(c1Nc1nc(-c3ccc(-n4cnc(C)c4)c(F)c3)cs1)CCCC2,'=',163.0,nM
Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4C(C)(C)C)n3)cc2F)cn1,'=',85.0,nM
Cc1cn(-c2ccc(-c3csc(Nc4cc(C(C)(C)C)nn4CC(F)(F)F)n3)cc2F)cn1,'=',87.0,nM
Cc1cn(-c2ccc(-c3csc(Nc4c5c(nn4C(C)C)CCC5)n3)cc2F)cn1,'=',66.0,nM
Cc1cn(-c2ncc(-c3cn(C4CCc5c(F)cccc5N(CC(F)(F)F)C4=O)nn3)cn2)cn1,'=',9950.0,nM
COc1cc(/C=C2/CCCN([C@H](C)c3ccc(F)cc3)C2=O)ccc1-n1cnc(C)c1,'=',150.0,nM
NC(=O)[C@@H](CCC(F)(F)F)N(CCCc1ncon1)S(=O)(=O)c1ccc(Cl)cc1,'=',12.1,nM
N#C[C@H]1CC[C@H](CN([C@H](CCC(F)(F)F)C(N)=O)S(=O)(=O)c2ccc(Cl)cc2)CC1,'=',2.75,nM
N#C[C@H]1C[C@H](CN([C@H](CCC(F)(F)F)C(N)=O)S(=O)(=O)c2ccc(Cl)cc2)C1,'=',16.4,nM
Cc1cn(-c2ccc3n(c2=O)CCN([C@@H](C)c2cn(C)c4ccc(C(F)(F)F)cc24)C3=O)cn1,'=',6.0,nM
Cc1cn(-c2ccc3n(c2=O)CCN(C[C@@]24C[C@@H]2COc2ccc(Cl)cc24)C3=O)cn1,'=',63.0,nM
CC(c1ccc(C(=O)c2ccc(COC(=O)NCCCCCNC(=O)CCCC[C@@H]3SC[C@@H]4NC(=O)N[C@@H]43)cc2)cc1OCCCN1CCCC1)N(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1,'=',2.9,nM
COc1cc(C2=CC3=NOC(CO)(c4ccc(F)cc4)N3CCO2)ccc1-n1cnc(C)c1,'=',512.0,nM
CC(c1ccccc1OCCCN1CCCC1)N(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1,'=',2000.0,nM
CN(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1,'=',1900.0,nM
CCCCCCCCn1c2ccccc2c2ccc(OCC#N)cc21,'=',105000.0,nM
CCCCCCCCn1c2ccccc2c2ccc(OC3=C(O)CNC3=O)cc21,'=',28000.0,nM
CCCCCCCCn1c2ccccc2c2ccc(OC3=C(O)C(Cc4ccc5c(c4)OCO5)N(Cc4ccccc4)C3=O)cc21,'=',31000.0,nM
CCCCCCCCn1c2ccccc2c2ccc(OCC(N)=O)cc21,'=',104000.0,nM
COc1nc(-c2csc(Nc3c4c(nn3CCO)CCCC4)n2)ccc1-n1cnc(C)c1,'=',144.0,nM
COc1cc(-c2cn(Cc3cccc(OC(F)(F)F)c3)nn2)ccc1-n1cnc(C)c1,'=',440.0,nM
COc1cc(-c2cn(Cc3ccc(F)cc3)nn2)ccc1-n1cnc(C)c1,'=',1220.0,nM
COc1cc(-c2nnc(N[C@@H](C)c3ccc(F)cc3)cc2C)ccc1-n1cnc(C)c1,'=',501.19,nM
COc1cc(-c2cc(C(F)(F)F)c(N[C@@H](C)c3ccc(F)cc3)nn2)ccc1-n1cnc(C)c1,'=',100.0,nM
O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1ccc(F)cc1,'=',129.0,nM
O=S(=O)(NC1C2CCC1Cc1c(F)cccc1C2)c1ccc(Cl)s1,'=',34.0,nM
O=S(=O)(NC1C2CCC1Cc1cc(Cl)ccc1C2)c1ccc(Cl)s1,'=',146.0,nM
Nc1ccc2c(c1)CC1CCC(C2)C1NS(=O)(=O)c1ccccc1,'=',6000.0,nM
CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C(C)(C)NC(=O)CNC(=O)[C@@H](NC(=O)C(C)(C)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)OC(C)(C)C)C(C)C)C(C)C)C(C)C)C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)OC)[C@@H](C)CC)C(C)C)C(C)C)[C@@H](C)OCc1ccccc1,'=',11000.0,nM
COc1cc(-c2nnc(N[C@@H](C)c3ccc(F)cc3)cc2C)ccc1-n1cnc(C)c1,'=',199.53,nM
CC[C@@H]1C[C@@H](O)C[C@H](COC(=O)N2CCN(CCO)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,'=',310.1,nM
CNC1=N/C(=C\c2ccc(-n3cnc(C)c3)c(OC)c2)C(=O)N1[C@@H](C)c1ccc(F)cc1,'=',411.0,nM
CCNC(=O)c1ccc(-c2c(C)nc3c(OCc4ccc(-c5cccc(F)c5)cc4)cccn23)cn1.Cl,'=',99.0,nM
Cc1nsc(N2C[C@H]3CC[C@@H](C2)[C@@H]3Nc2nc3c(OC(F)(F)F)cccn3n2)n1,'=',61.0,nM
Cc1nnc(-c2ccc(Nc3nc(Oc4cccc(Cl)c4)n(C(C)C)n3)cc2)o1,'=',510.0,nM
Cc1nnc(C23CCC(Nc4nc(Oc5cccc(Cl)c5)n(C(C)C)n4)(CC2)CC3)o1,'=',118.0,nM
Cc1nnc(C23CC(Nc4nc5n(n4)CCCN5c4cccc(Cl)c4)(C2)C3)o1,'=',777.0,nM
Cc1cc(C23CC(Nc4nc5n(n4)CCCC[C@H]5c4ccc(F)c(F)c4F)(C2)C3)ncn1,'=',11.0,nM
Cc1nsc(N2C[C@H]3CC[C@@H](C2)[C@@H]3Nc2nc3c(O[C@@H](C)C(F)(F)F)cccn3n2)n1,'=',16.0,nM
Cc1nnc(N2C[C@H]3CC[C@@H](C2)[C@@H]3Nc2nc3c(OC(C)C(F)(F)F)cccn3n2)o1,'=',108.0,nM
Cc1nsc(N2C[C@H]3CC[C@@H](C2)[C@@H]3Nc2nc3c(OCCCC(F)(F)F)cccn3n2)n1,'=',14.0,nM
CCn1ncc2c1CCC(Nc1nc3c(-c4cncc(Cl)c4)cccn3n1)C2,'=',40.0,nM
CCn1ncc2c1CCC(Nc1nc3c(-c4ccccc4)cccn3n1)C2,'=',70.0,nM
CCCn1ncc2c1CCC(Nc1nc3c(-c4ccc(F)cc4C)cccn3n1)C2,'=',60.0,nM
COc1cc(/C=C/c2nc3cccc(F)c3c(=O)[nH]2)ccc1-n1cnc(C)c1,'=',4870.0,nM
COc1cc(/C=C/c2nc3ccc(F)cc3c(=O)[nH]2)ccc1-n1cnc(C)c1,'=',4280.0,nM
COc1cc(/C=C/c2nc(N)c3ccccc3n2)ccc1-n1cnc(C)c1,'=',1690.0,nM
COc1cc(/C=C/c2nc3cc(Br)ccc3c(=O)[nH]2)ccc1-n1cnc(C)c1,'=',4820.0,nM
O=S(=O)(c1ccc(C(F)(F)F)cc1)N1C2Cc3[nH]ncc3C1CC(c1nc[nH]n1)C2,'=',42636.0,nM
Cc1cc(N2C[C@H]3CC[C@@H](C2)[C@@H]3Nc2nc3c(OCC(F)(F)C(F)(F)F)cccn3n2)on1,'=',7.0,nM
CCNC(=O)c1ccc(-c2c(C)nc3c(OCc4ccc(-c5ccccc5F)cc4)cccn23)cn1.Cl,'=',220.0,nM
CCCC(C)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccccc1,'=',1200.0,nM
CN1C(=O)[C@@H](NC(=O)C2(C(=O)N[C@@H](O)C3CCCCC3)CCC2)N=C(c2ccc(C(F)(F)F)cc2)c2ccccc21,'=',11.0,nM
COc1cc2[nH]c(-c3nc4n(n3)CCCC4c3ccccc3C(F)(F)F)cc2cc1C#N,'=',107.0,nM
COc1nc(-c2csc(Nc3c4c(nn3C3CCCC3)CCCC4)n2)ccc1-n1cnc(C)c1,'=',83.0,nM
COc1nc(-c2csc(Nc3c4c(nn3CC(F)(F)F)CCCC4)n2)ccc1-n1cnc(C)c1,'=',57.0,nM
COc1nc(-c2csc(Nc3c4c(nn3CCF)CCCC4)n2)ccc1-n1cnc(C)c1,'=',100.0,nM
COc1cc(-c2nnc3n2CCCN3C(C)c2ccc(F)cc2)ccc1-n1cnc(C)c1,'=',509.0,nM
COc1cc(-c2nnc3n2CCCN3Cc2ccc(F)c(F)c2)ccc1-n1cnc(C)c1,'=',552.0,nM
CCCCC(=O)N1CCCn2c(-c3ccc(-n4cnc(C)c4)c(OC)c3)nnc21,'=',2069.0,nM
CCC(CC)[C@H](NS(=O)(=O)c1ccc(Cl)s1)c1ccnn1Cc1ccc(O)cc1,'=',154.0,nM
O=S(=O)(c1ccc(Cl)cc1)N1Cc2c[nH]nc2CC1c1ccccc1,'=',6514.0,nM
O=S(=O)(c1ccc(Cl)cc1)N1Cc2c[nH]nc2CC1c1ccccc1,'=',7.7,nM
O=S(=O)(c1ccc(Cl)cc1)N1CCc2n[nH]cc2C1c1cncnc1,'=',12.0,nM
COc1cc(N2CCC(Nc3ncc4c(n3)N(c3ccccc3OC(F)(F)F)CCO4)CC2)ccn1,'=',20.8,nM
COC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',800.0,nM
COC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',400.0,nM
CC(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@@H]1C(=O)N(C)c2ccccc2-c2ccccc21,'=',1.7,nM
CC(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@@H]1C(=O)N(C)c2ccccc2-c2ccccc21,'=',3.0,nM
O=C1NCCCC[C@H]1N(Cc1ccc(OC(F)(F)F)cc1)S(=O)(=O)c1ccc(Cl)cc1,'=',45.0,nM
COc1cc(-c2ccc(N[C@@H](C)c3ccccc3)nn2)ccc1-n1cnc(C)c1,'=',79.43,nM
CC[C@H](Nc1ccc(-c2ccc(-n3cnc(C)c3)c(OC)c2)nn1)c1ccc(F)cc1,'=',50.12,nM
COC[C@H](Nc1ccc(-c2ccc(-n3cnc(C)c3)c(OC)c2)nn1)c1ccccc1,'=',158.49,nM
COc1cc(-c2cc(C(F)(F)F)c(N[C@@H](C)c3ccc(F)cc3)nn2)ccc1-n1cnc(C)c1,'=',2511.89,nM
COc1cc(/C=C2\CCCN3CC(COc4ccccc4)ON=C23)ccc1-n1cnc(C)c1,'=',140.0,nM
COc1cc(/C=C2\CCCN3C2=NOC32CCOc3ccc(F)cc32)ccc1-n1cnc(C)c1,'=',58.0,nM
CCC[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1cn(C(C)(C)CCN2CCCC2)cn1,'=',226.0,nM
COC[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1cn(C(C)(C)CN2CCCC2)cn1,'=',8.2,nM
