Standard Value,smiles_encoded,exactmw,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,CrippenClogP,hallKierAlpha
18385.0,36,504.144296256,0.3333333333333333,5.0,3.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,4.6212000000000035,-3.1799999999999984
610.0,417,307.16060004,0.6470588235294118,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.8995000000000015,-0.8700000000000001
390.0,852,688.383600004,0.4358974358974359,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.010300000000003,-4.8999999999999995
400.0,852,688.383600004,0.4358974358974359,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.010300000000003,-4.8999999999999995
48.0,1215,468.1773106360001,0.28,5.0,3.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,5.170820000000005,-3.7500000000000004
4.3,185,672.3886853839999,0.4358974358974359,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.476000000000003,-4.7
72.0,185,672.3886853839999,0.4358974358974359,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.476000000000003,-4.7
36.0,185,672.3886853839999,0.4358974358974359,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.476000000000003,-4.7
281.0,185,672.3886853839999,0.4358974358974359,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.476000000000003,-4.7
22.0,185,672.3886853839999,0.4358974358974359,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.476000000000003,-4.7
115.0,185,672.3886853839999,0.4358974358974359,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.476000000000003,-4.7
17.0,185,672.3886853839999,0.4358974358974359,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.476000000000003,-4.7
1392.0,1119,432.19615426000007,0.28,5.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,5.497220000000005,-3.609999999999999
251.19,1073,403.18083854400004,0.17391304347826086,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.9585200000000045,-3.7399999999999998
1258.93,1073,403.18083854400004,0.17391304347826086,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.9585200000000045,-3.7399999999999998
141.0,476,381.132254352,0.3888888888888889,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.504240000000002,-2.3499999999999996
94.1,476,381.132254352,0.3888888888888889,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.504240000000002,-2.3499999999999996
3.8,481,466.185018196,0.5,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.2806000000000024,-2.4299999999999997
2.4,481,466.185018196,0.5,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.2806000000000024,-2.4299999999999997
30.0,492,452.169368132,0.47619047619047616,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.7196000000000007,-2.4299999999999997
12.7,492,452.169368132,0.47619047619047616,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.7196000000000007,-2.4299999999999997
4.0,488,510.211232944,0.5,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.7356000000000025,-2.92
0.7,488,510.211232944,0.5,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.7356000000000025,-2.92
5.0,475,480.23705376800007,0.5416666666666666,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.892520000000004,-2.3899999999999997
64.0,1151,419.200905292,0.28,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.095420000000004,-3.4099999999999997
560.0,1151,419.200905292,0.28,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.095420000000004,-3.4099999999999997
81.0,1151,419.200905292,0.28,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.095420000000004,-3.4099999999999997
160.0,1151,419.200905292,0.28,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.095420000000004,-3.4099999999999997
2300.0,1151,419.200905292,0.28,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.095420000000004,-3.4099999999999997
14000.0,1151,419.200905292,0.28,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.095420000000004,-3.4099999999999997
85.0,1151,419.200905292,0.28,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.095420000000004,-3.4099999999999997
80.0,1151,419.200905292,0.28,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.095420000000004,-3.4099999999999997
83.0,1151,419.200905292,0.28,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.095420000000004,-3.4099999999999997
467.0,2150,361.09032756,0.3684210526315789,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.811900000000003,-1.3599999999999994
50.0,2156,333.085720848,0.4117647058823529,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,3.2200000000000015,-1.1699999999999997
3100.0,680,1285.826111852,0.7230769230769231,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.862199999999997,-7.380000000000002
0.14,626,1441.9159894759998,0.7222222222222222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.1191999999999878,-8.440000000000005
9.0,626,1441.9159894759998,0.7222222222222222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.1191999999999878,-8.440000000000005
69.0,786,522.1526105319999,0.5416666666666666,5.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,3.0593000000000012,-1.489999999999999
535.0,123,454.22901394799993,0.5,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.923300000000004,-2.1799999999999993
73.0,2148,494.14646253200004,0.5833333333333334,5.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,4.738100000000005,-1.1199999999999999
500.0,839,787.4520139120001,0.4772727272727273,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.151100000000007,-5.429999999999999
8.3,2246,391.05575362,0.16666666666666666,4.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.690500000000003,-2.2199999999999993
11397.0,2246,391.05575362,0.16666666666666666,4.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.690500000000003,-2.2199999999999993
662.0,2246,391.05575362,0.16666666666666666,4.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.690500000000003,-2.2199999999999993
153.0,1984,510.13800602399994,0.2962962962962963,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.560600000000005,-2.8699999999999988
3490.0,1961,529.1260614359999,0.34615384615384615,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,4.601700000000004,-2.229999999999999
12.59,1331,473.19755122800007,0.28,6.0,4.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.089520000000003,-4.209999999999999
12.59,1332,429.1913229760001,0.21739130434782608,5.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.4613200000000024,-4.139999999999999
39.81,1342,415.1756729120001,0.18181818181818182,5.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5928200000000023,-4.139999999999999
790.0,1719,500.1195566400001,0.19047619047619047,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.776320000000003,-4.099999999999999
52.0,883,490.17403682400004,0.2608695652173913,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.995720000000004,-3.929999999999999
234.0,1773,384.15862588,0.17391304347826086,5.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.151620000000001,-3.669999999999999
389.0,1786,469.172559604,0.2916666666666667,5.0,4.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.069920000000003,-3.819999999999999
361.0,707,470.16780857199996,0.30434782608695654,5.0,4.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.386820000000002,-3.8899999999999992
207.0,1769,407.114902496,0.19047619047619047,5.0,4.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.133120000000001,-3.3199999999999994
510.0,1571,430.14526156000005,0.23809523809523808,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.1662999999999997,-3.6599999999999997
1.2,1571,430.14526156000005,0.23809523809523808,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.1662999999999997,-3.6599999999999997
